Quality_Label,Clarity_Rating,Pace_Rating,Pauses_Rating,Pitch_Rating,Loudness_Rating,WPM,Avg_Pause,Pitch_Variability,Disfluencies,Filled_Pauses,Loudness_Variance,Articulation_Rate
Good,2,5,4,1,5,142.359454,0.191275406,17.37784995,1,1,0.003676432,2.366661347
Good,1,4,4,4,4,150.753906,0.191417487,58.28509512,1,3,0.005433722,2.466100962
Good,2,4,5,4,4,123.106995,0.367937328,59.44114883,2,2,0.005398281,2.133384969
Good,2,5,3,4,5,159.829147,0.185120596,46.75617966,0,4,0.003581046,2.860464896
Good,2,5,5,2,4,153.446101,0.36663125,70.4870672,2,2,0.006777957,2.682895888
Excellent,3,5,4,4,4,153.490972,0.346259129,41.31845538,2,2,0.006502947,3.129426103
Excellent,2,5,4,5,4,149.015612,0.127419327,59.29211852,0,2,0.005611462,2.142586923
Excellent,2,5,5,4,5,142.313867,0.232243535,27.60671323,1,2,0.004488417,2.317697235
Excellent,3,5,4,5,4,152.76578,0.41941094,47.52895698,0,0,0.008097414,2.531006073
Excellent,2,5,4,5,4,151.469026,0.201883447,44.51291484,2,1,0.009310814,2.676271338
Good,2,4,5,4,5,136.335349,0.253559574,52.50615844,0,2,0.005032877,2.374516327
Excellent,2,5,5,5,4,132.822372,0.346206089,40.60946142,1,1,0.004775666,2.144463618
Excellent,3,5,4,4,4,143.629701,0.378339051,45.37054809,1,1,0.006982415,2.758492635
Good,4,4,4,3,5,166.784322,0.274846111,64.52094343,0,1,0.005283941,2.702397377
Good,2,4,4,4,4,122.174287,0.240248981,39.26471526,1,1,0.005721206,2.129304065
Good,3,4,5,1,4,118.519596,0.442236986,15.86845799,2,1,0.007479306,2.92440498
Good,4,4,4,1,4,144.636173,0.473889966,82.99167808,1,0,0.002181288,2.859569548
Good,3,4,5,2,4,142.814203,0.397885805,75.62908157,1,2,0.008636605,2.497003774
Good,2,4,4,2,5,144.773467,0.308531814,22.1547461,2,2,0.006145361,2.477859252
Good,3,4,4,4,5,145.903251,0.219173428,61.7941561,0,2,0.005177014,2.64392022
Excellent,3,5,5,5,5,138.428764,0.216955559,37.94050459,0,0,0.005821532,2.148403925
Excellent,2,5,4,5,4,165.837815,0.352251411,53.26974431,0,3,0.005924859,2.460511018
Good,1,4,4,4,4,116.385536,0.341839822,53.88448258,1,1,0.002537597,1.696665759
Excellent,4,4,5,4,4,128.744048,0.440159859,43.31184399,1,0,0.008989876,2.756759476
Good,2,5,5,4,4,140.347924,0.365045009,32.32468669,2,1,0.006082651,1.903477372
Excellent,4,3,3,5,5,115.708979,0.14969197,34.18917895,0,1,0.006886004,2.97619694
Good,1,4,4,3,5,139.18633,0.405194762,29.67616169,0,4,0.0079031,2.334457967
Good,2,4,4,4,4,168.583523,0.200193937,31.36355584,1,1,0.003957675,2.375916556
Excellent,3,5,4,5,4,142.334184,0.261602873,46.6564342,0,0,0.006946944,2.230293133
Good,2,4,4,5,4,145.691214,0.325020021,33.68480022,2,2,0.005464718,2.349186394
Excellent,4,5,3,4,5,121.837364,0.499566749,61.64104131,0,1,0.007693542,2.946485971
Bad,1,5,2,1,4,132.138217,0.610991856,77.74492311,2,1,0.001745545,1.57926697
Excellent,3,5,5,4,4,135.996858,0.360672306,36.39893517,2,1,0.005801811,2.896937885
Excellent,4,4,5,4,5,136.916558,0.281680338,52.78809001,0,1,0.004794359,2.568308218
Good,2,5,4,4,5,162.506301,0.353450565,57.99370221,2,1,0.006864526,2.027542423
Good,1,5,4,5,4,150.923057,0.388765543,57.44004542,0,3,0.006940088,2.073640662
Excellent,4,4,4,5,5,124.216673,0.267933237,49.51910536,0,1,0.004584748,3.03673756
Good,1,5,4,4,5,145.944076,0.479521136,62.85364837,4,0,0.004575652,2.119072592
Excellent,2,5,5,5,4,149.971548,0.323007076,57.64497905,2,0,0.005778669,2.046327321
Good,3,4,4,2,5,160.242385,0.349774309,23.24675155,1,1,0.004206716,2.84806009
Good,2,4,4,3,4,167.288651,0.366592425,65.38312129,1,3,0.007683967,2.568493507
Good,3,4,5,3,5,125.758493,0.342158661,65.74581675,0,0,0.005261586,2.121726048
Excellent,4,5,5,5,4,129.02628,0.38389405,32.73427792,0,0,0.001,2.525818741
Good,2,4,4,4,5,121.878754,0.238274681,48.75875671,0,2,0.005250356,2.090986561
Excellent,3,5,4,5,4,138.255682,0.244169825,61.66657986,0,0,0.003922912,2.835287489
Excellent,5,4,3,4,4,149.461734,0.189984577,43.81372361,0,0,0.002737448,2.821479838
Good,3,4,5,3,5,157.797352,0.343950123,69.45956096,2,1,0.003525147,2.63620217
Good,4,5,5,1,5,140.784784,0.37789365,95.27744989,0,0,0.006218817,2.576581371
Excellent,4,4,5,4,5,136.88244,0.345777287,32.28027935,0,1,0.008657282,3.066415844
Good,2,4,4,2,4,144.428128,0.467449243,20.37910794,1,1,0.006626369,2.449890215
Excellent,2,5,5,4,5,128.637714,0.299440398,54.07637191,3,0,0.004786993,2.036344056
Good,3,4,4,4,5,175.43262,0.366874166,62.4312501,1,2,0.006911808,2.607315869
Excellent,4,4,4,5,4,116.277424,0.190829912,43.38267252,2,1,0.005081819,3.180116467
Good,3,5,5,1,5,144.955849,0.26129003,77.06521327,0,1,0.004610799,2.094834177
Good,2,4,5,2,4,174.3777,0.369553776,21.22788401,0,3,0.003691275,2.323488032
Excellent,3,5,5,4,4,142.108798,0.384910211,61.85837246,1,0,0.002496342,2.595756113
Good,3,4,4,4,5,138.959375,0.270603305,35.88278358,1,0,0.005220153,2.431133303
Good,1,4,5,1,5,136.280873,0.292840075,82.38755812,3,3,0.006316107,2.106193747
Good,4,5,4,1,4,139.113733,0.148212625,87.85030706,0,1,0.005806753,2.84265025
Excellent,3,5,4,4,5,163.965576,0.26429708,32.66686824,0,3,0.005168066,3.262014253
Good,2,2,5,5,5,106.610209,0.389038316,37.00885728,1,2,0.004108508,2.518646011
Good,1,4,4,4,4,166.534939,0.357520502,65.19175774,1,4,0.007216492,2.133576099
Good,2,3,4,4,4,119.216686,0.350066572,40.257387,0,2,0.003365736,1.907863816
Good,1,5,4,4,4,137.733563,0.304977369,47.09177564,0,4,0.007552056,2.540291593
Excellent,3,5,4,4,4,135.132089,0.300706316,48.50776841,1,1,0.003995566,2.83635707
Good,3,4,5,1,5,151.416852,0.233967886,9.60653688,1,1,0.00449513,2.616308711
Good,2,3,4,5,4,116.43001,0.369882842,47.72324508,1,3,0.00306643,2.449158656
Good,1,5,4,4,4,149.394763,0.342097294,34.20544452,2,2,0.004997196,2.243754922
Good,1,3,4,4,4,174.388954,0.349201885,38.13754355,4,0,0.007950625,2.067742729
Good,4,4,4,1,4,120.189216,0.247396516,76.87264007,1,0,0.007031256,2.742162964
Good,4,5,2,2,5,145.035299,0.084665708,22.86986211,0,1,0.007956844,2.769820067
Good,1,4,4,4,4,131.408285,0.409715271,64.26410373,1,2,0.007044285,1.908994575
Excellent,2,4,4,5,5,148.814195,0.252116254,42.42074139,4,1,0.00379266,3.006443642
Excellent,2,5,4,5,4,142.306364,0.213722424,42.40479663,0,3,0.005338422,2.650924927
Excellent,2,5,5,4,5,131.736209,0.369347891,63.80743792,1,3,0.004439602,2.939858126
Excellent,3,5,4,5,4,149.805957,0.260798736,54.80102589,0,0,0.00866115,1.980255288
Excellent,3,4,5,5,5,170.86957,0.405993638,59.41225994,0,0,0.003606423,1.971961546
Good,2,5,4,3,5,138.945539,0.361700595,67.36369321,2,2,0.007787395,2.397860742
Good,1,4,5,4,5,153.516127,0.368356932,41.37383234,1,4,0.007785908,2.625974549
Excellent,4,4,4,4,4,121.307633,0.163404429,35.75526531,0,1,0.00965924,3.078726288
Good,3,4,5,3,4,126.697018,0.421194399,26.29698947,2,0,0.005180627,2.69712762
Good,3,4,4,4,5,149.5585,0.326125053,31.4917894,0,1,0.007424644,2.365061553
Good,2,4,5,1,4,165.745856,0.263072286,100.0,2,1,0.010563304,2.090770777
Good,2,4,4,1,5,147.689814,0.314338847,72.89359161,2,2,0.004764717,2.8805002
Good,1,4,3,2,5,136.991072,0.122376477,20.97851268,3,1,0.00292992,2.112353101
Good,4,4,4,2,4,141.988662,0.340865281,21.55084087,1,2,0.00223998,3.019963994
Excellent,4,4,4,5,5,121.993476,0.197062849,57.63732123,0,0,0.007425424,2.350465373
Excellent,2,5,4,5,4,151.672245,0.164732971,58.94529595,3,2,0.0022337,3.006703725
Good,1,5,3,4,4,156.117329,0.147764081,58.97767671,1,4,0.005255362,2.687625952
Good,1,4,4,4,5,134.766555,0.411268837,42.90088413,4,3,0.006874626,2.402051579
Excellent,3,5,4,5,4,134.479326,0.237073661,45.4909148,1,0,0.006370351,2.26821127
Good,2,5,4,4,4,146.254052,0.453372771,54.55759048,1,2,0.00685089,2.330682243
Excellent,2,5,4,5,5,135.012484,0.246419854,49.71786013,1,2,0.00644458,2.599910842
Good,3,4,3,1,5,140.941878,0.129264204,3.61399255,1,1,0.008557732,2.477004774
Good,3,4,4,4,4,175.595549,0.188347556,43.40400739,1,0,0.004095367,2.242166007
Good,1,5,5,4,5,138.047589,0.423581162,30.97187131,2,2,0.00464601,2.392029006
Excellent,3,5,5,4,4,136.266558,0.284410182,51.50422838,0,2,0.004454681,2.47750196
Bad,1,4,4,1,5,131.639331,0.24517127,100.0,2,0,0.007660384,1.704943067
Excellent,3,5,5,5,4,153.907072,0.316001823,55.34963331,1,1,0.007800797,2.61035884
Excellent,1,5,5,5,5,139.100413,0.350178274,41.72940628,2,3,0.006902451,2.107097571
Good,2,4,4,3,5,131.610031,0.411739882,66.43603004,0,2,0.008366987,2.046333659
Good,1,4,5,5,4,163.140865,0.444849923,57.65375774,2,0,0.003643918,1.859429479
Excellent,2,5,4,5,5,164.713648,0.264023135,56.40188981,3,0,0.009334448,1.822137626
Good,1,5,4,5,4,132.393223,0.167395231,60.13701186,1,2,0.009046477,1.975593374
Good,3,4,4,1,5,112.135361,0.258653484,89.1308713,0,1,0.007471244,2.201842665
Good,4,4,4,3,4,158.120219,0.326028051,25.38223129,1,1,0.009563598,3.133640698
Good,1,5,4,5,4,131.045923,0.203624107,57.47264154,2,3,0.002686754,2.265942113
Good,3,5,4,3,4,154.65001,0.204284909,29.4723774,0,2,0.004951104,2.512212537
Excellent,4,3,4,5,4,110.478339,0.334378788,59.11025293,0,0,0.004529393,2.590168485
Excellent,3,5,4,4,4,156.281557,0.295134765,29.62626977,0,0,0.007442959,2.495872815
Good,2,5,4,4,4,122.621249,0.3032797,39.65266373,1,2,0.003899719,2.422894789
Good,1,5,5,4,4,153.692226,0.224150467,42.09820172,3,0,0.00751499,2.031647183
Good,3,4,4,3,5,142.228369,0.276959929,67.51633439,0,3,0.008741072,2.957824642
Excellent,4,5,4,3,5,126.736969,0.207576686,66.36908888,2,1,0.007390406,3.082518825
Good,1,4,4,2,5,135.487419,0.389019841,23.08565247,1,1,0.006567502,1.861069457
Excellent,1,5,5,5,4,152.981095,0.403524933,49.09868222,2,3,0.004024253,2.091589993
Good,1,5,2,4,4,143.694311,0.115381214,33.80840291,3,1,0.004306298,2.35206638
Good,3,4,4,3,5,151.350608,0.207048914,22.82990179,1,0,0.008499238,2.112411772
Good,1,4,4,5,4,173.623049,0.150347074,43.65965899,0,4,0.007558698,2.627087944
Good,2,4,5,4,5,116.972134,0.234997607,41.83034423,0,1,0.005921961,2.195104729
Bad,2,4,4,1,4,167.875401,0.291656203,96.53432973,4,3,0.005164181,3.207769624
Excellent,4,4,3,5,4,143.669695,0.155035478,56.65919651,1,1,0.001948384,2.866692008
Good,2,5,5,3,5,127.619455,0.207814019,20.44764998,0,3,0.003858295,2.524400911
Excellent,3,5,4,4,5,120.714982,0.199604263,36.70451992,0,1,0.009822838,2.809445192
Excellent,5,5,4,3,4,138.974074,0.320726733,68.42766591,1,0,0.003439089,2.837065149
Good,3,4,4,1,4,156.746402,0.306934434,89.76885546,0,1,0.00637896,2.252618379
Good,2,5,5,1,4,139.959214,0.227826245,16.28033376,0,2,0.008014888,2.164323964
Good,3,4,5,1,5,166.178479,0.317682087,10.4015123,0,1,0.003490155,2.477350072
Good,3,4,4,2,5,118.781189,0.245331992,85.41930351,3,0,0.006369421,2.751572644
Good,3,4,4,4,5,141.806577,0.272834489,55.79228355,0,1,0.007875831,2.49867114
Good,2,4,4,3,5,121.961705,0.467345209,30.63414536,1,1,0.006024999,1.898051231
Good,2,5,4,4,4,147.81811,0.434046105,58.69258172,0,2,0.011736806,2.169011445
Good,2,5,4,1,4,156.190198,0.170041876,2.0,0,3,0.002662801,2.424109498
Excellent,1,5,4,5,5,135.267811,0.382973242,48.06751013,0,5,0.008117457,2.423517038
Good,4,3,5,4,4,100.332578,0.381139655,54.55642346,0,3,0.005654397,3.140389762
Good,2,4,4,3,4,145.18317,0.185173671,66.48540279,0,2,0.00754384,1.96490422
Good,2,4,5,3,5,148.987817,0.381877764,27.72208095,1,3,0.006882614,2.626956235
Excellent,4,5,4,4,4,148.468716,0.453793192,49.71374323,0,2,0.004533688,2.971189588
