Quality_Label,Clarity_Rating,Pace_Rating,Pauses_Rating,Pitch_Rating,Loudness_Rating,WPM,Avg_Pause,Pitch_Variability,Disfluencies,Filled_Pauses,Loudness_Variance,Articulation_Rate
Good,3,5,4,4,3,150.28223,0.285323056,83.52632375,0,0,0.004922948,2.257937506
Good,4,5,3,4,3,160.556195,0.070515108,99.38469139,1,0,0.005022882,2.8641674
Good,4,4,5,4,3,144.089793,0.339364678,75.23452798,3,0,0.005277698,3.129493687
Excellent,3,3,4,5,4,109.600085,0.326012204,82.90812586,1,2,0.008609242,2.682675204
Excellent,2,4,5,4,5,140.478975,0.230882983,41.07960802,0,1,0.010101643,1.901536475
Good,3,5,4,3,3,167.464006,0.400710941,27.2460204,0,1,0.00577762,2.132715133
Excellent,4,5,3,5,4,143.457726,0.144700468,75.40190398,1,1,0.009723887,3.029097787
Good,3,4,5,5,3,144.579565,0.415349079,65.02433805,1,1,0.007370439,2.432350926
Good,3,5,4,4,3,171.700283,0.29853924,57.57866498,1,1,0.006627143,2.531829414
Excellent,5,4,5,5,3,134.336589,0.239613689,64.29691554,1,0,0.006365847,2.803529766
Excellent,4,4,4,5,4,116.058329,0.277615164,62.75645158,0,0,0.009239834,2.778529145
Excellent,3,5,4,5,3,146.466115,0.267128228,85.81160464,2,1,0.007976733,2.611519925
Excellent,3,4,4,4,5,139.348173,0.426433948,86.07965404,0,3,0.013827476,2.416532652
Good,3,4,4,4,3,128.742581,0.150798505,68.06128846,2,0,0.004443326,2.374932622
Excellent,5,4,5,4,4,146.141674,0.188497691,75.29926894,0,0,0.008554305,2.84315953
Excellent,3,5,4,5,3,160.813124,0.404356347,67.33750126,2,1,0.005412397,2.721427812
Good,4,5,4,4,2,149.795652,0.208535808,43.93192643,1,0,0.004392139,2.39708
Excellent,5,5,4,4,4,156.753584,0.388063969,73.1575522,1,0,0.006967399,2.932844925
Good,3,3,4,2,3,189.894969,0.483932318,21.53211835,2,1,0.007412057,2.448386354
