Quality_Label,Clarity_Rating,Pace_Rating,Pauses_Rating,Pitch_Rating,Loudness_Rating,WPM,Avg_Pause,Pitch_Variability,Disfluencies,Filled_Pauses,Loudness_Variance,Articulation_Rate
Good,2,4,5,5,4,141.934283,0.270059142,30.0780898,3,1,0.0089888,2.275884936
Excellent,3,5,4,5,4,129.234714,0.281573785,34.91674128,0,2,0.00451873,2.29807172
Excellent,3,5,5,4,5,144.953771,0.158397033,58.45128489,0,2,0.001330254,2.367524589
Excellent,4,4,5,5,5,162.460597,0.267870444,55.98666478,0,0,0.004715655,2.291199199
Good,3,4,5,4,4,127.316933,0.275168697,44.62377131,1,1,0.010502279,2.735551647
Excellent,4,4,4,5,5,127.317261,0.15427783,47.1118929,0,4,0.008550665,3.234209201
Good,2,4,4,4,4,163.584256,0.463892941,67.99796812,0,3,0.004954044,2.127003286
Good,2,4,4,5,4,147.348695,0.296859951,34.351715,1,0,0.004952227,1.802078808
Good,3,5,3,5,4,122.610512,0.09704358,54.84775286,1,1,0.005035095,2.314687181
Excellent,4,4,5,5,5,142.851201,0.318786433,41.36053226,1,0,0.012230244,3.381883735
Good,2,4,4,4,5,122.731646,0.1230382,41.08173834,2,2,0.007145806,2.028530173
Excellent,4,4,5,5,5,122.685405,0.334450152,64.77798334,2,1,0.007290125,3.005646722
Excellent,4,5,4,4,5,136.839245,0.379031469,59.85749428,2,2,0.00909085,3.021080326
Good,2,2,4,5,5,93.734395,0.141518122,59.64317345,0,4,0.006716367,2.128564703
Good,4,2,5,4,4,97.501643,0.355605136,68.49861853,0,0,0.005222874,2.577593232
Good,3,3,4,4,5,120.754249,0.289533711,45.37806915,1,2,0.00541095,3.001358649
Good,2,4,5,4,5,111.743378,0.338647219,57.27515348,2,2,0.005785196,2.198348904
Good,2,5,3,4,5,138.284947,0.467615158,39.41519838,1,1,0.005888333,2.268567856
Excellent,3,5,5,4,5,113.839518,0.210553426,50.83499434,1,0,0.008182889,2.117327634
Good,1,3,4,5,5,103.753926,0.14955166,42.65742502,3,3,0.006155838,1.944097308
