Quality_Label,Clarity_Rating,Pace_Rating,Pauses_Rating,Pitch_Rating,Loudness_Rating,WPM,Avg_Pause,Pitch_Variability,Disfluencies,Filled_Pauses,Loudness_Variance,Articulation_Rate
Good,4,4,4,4,3,141.305706,0.226079412,51.10112932,1,2,0.003024862,2.336351573
Bad,2,2,1,1,2,101.4626241,0.088967798,20.25751155,2,5,0.00660244,1.492370886
Good,3,3,3,4,3,134.0672532,0.226869051,55.43523592,0,2,0.006667878,2.394434759
Good,3,3,4,3,3,114.8974307,0.214658718,48.99001898,0,3,0.011317457,2.769533513
Excellent,5,5,4,4,5,141.9817216,0.419200786,84.05205306,0,0,0.006392326,2.601313504
Excellent,5,4,4,5,4,159.2316261,0.295162385,63.17698436,0,1,0.005428013,2.206060227
Excellent,5,4,4,5,4,146.4325497,0.37780609,80.43860611,0,0,0.005526448,2.635101808
Bad,2,2,2,2,2,105.8826657,0.089860275,12.30078465,9,6,0.011980572,1.746670677
Good,4,4,3,3,4,146.3672937,0.325242847,39.58830692,0,1,0.007291724,2.376869487
Good,4,3,4,3,4,145.1172796,0.354027612,33.87771483,2,3,0.006976833,2.457179612
Excellent,5,4,5,5,5,154.7323762,0.346358554,61.53206282,1,0,0.003485153,2.842021848
Bad,2,1,2,2,1,111.8495774,0.213511255,8.796986949,2,5,0.005794264,1.695802712
Bad,2,1,2,2,2,138.7471266,0.150730637,44.96321992,4,3,0.01595281,2.174504076
Excellent,5,4,5,5,5,133.8728413,0.367720979,51.19687412,0,1,0.004952356,2.803738892
Excellent,5,5,4,4,5,171.4394409,0.381695951,49.74857413,1,0,0.005186454,2.545636184
Excellent,4,5,4,4,4,166.6130173,0.334032246,67.95383495,0,1,0.007134641,2.745369764
Good,4,4,3,4,4,129.038879,0.147606421,47.15129647,0,2,0.010744011,1.801511529
Good,4,3,3,3,4,120.4971074,0.250145089,59.07122338,2,7,0.007962435,2.540117152
Good,3,4,4,3,3,132.7035085,0.266607861,60.61988561,0,2,0.006070941,2.685603328
Excellent,5,5,4,4,5,164.5255025,0.352537198,74.94599892,0,0,0.00661082,2.805592085
Good,4,3,3,3,4,148.2064607,0.233824588,47.38782556,2,3,0.009197554,2.328232561
Excellent,4,4,5,4,5,158.5397471,0.369602094,68.75474752,0,0,0.00414674,2.69714389
Excellent,4,4,4,4,4,161.5811087,0.389583135,76.24119817,0,0,0.005628346,2.715160912
Good,4,4,3,3,4,129.8425743,0.321118744,55.9527708,2,1,0.003836692,2.423702704
Good,4,4,3,3,3,129.2233367,0.232924228,53.73089079,2,1,0.009950712,2.19529722
Good,4,4,3,4,3,139.2770677,0.317213693,63.6001043,0,2,0.001871316,2.742817765
Excellent,5,4,5,4,4,152.2409248,0.35062962,70.97676099,1,1,0.00422699,3.130636492
Good,4,4,4,4,3,128.4897866,0.238537339,42.79274383,0,1,0.004581755,2.87674324
Good,4,3,3,3,3,145.1263396,0.400093667,61.40508606,1,5,0.005846193,2.753832036
Excellent,4,5,4,4,4,145.3082435,0.319210708,84.36183468,1,0,0.005342457,3.082305921
Good,4,3,3,4,4,133.2490179,0.299827995,37.18855485,2,3,0.006715241,2.472700106
Excellent,5,5,5,5,4,170.4739892,0.321837069,95.39257791,0,1,0.005203114,2.709914546
Excellent,5,5,5,4,5,158.8606356,0.343146109,72.00134419,1,1,0.002829134,2.697056348
Bad,1,1,2,2,1,125.9281086,-0.002316087,43.08872811,2,6,0.015988461,1.805872503
Bad,1,2,1,1,1,99.39484763,0.070712717,23.3945446,2,4,0.007859031,1.85506878
Bad,1,1,2,1,1,105.580608,0.152375148,29.73453965,5,5,0.010567163,2.260745375
Good,4,4,3,3,3,137.1964232,0.24617673,37.2648484,0,0,0.005691253,2.46546682
Excellent,5,4,4,5,5,159.1056412,0.478666248,63.75983271,0,0,0.006479434,3.097227281
Good,4,4,3,4,3,153.8926632,0.402753331,33.21718911,0,1,0.008125938,2.285426933
Good,3,4,4,4,4,133.7982314,0.313798736,51.74244872,0,5,0.009483941,2.374271049
Excellent,5,4,4,4,4,152.7975735,0.212952258,65.41380723,0,0,0.004693284,2.472171654
Good,4,3,3,4,3,144.01614,0.190162401,24.33439622,1,2,0.006856652,2.092854444
Excellent,4,4,4,5,5,151.6972928,0.354469696,74.88044079,1,1,0.006580134,2.636304298
Bad,2,2,1,1,1,103.6188596,0.122595564,34.12170837,6,5,0.012968061,1.287808503
Excellent,4,4,5,5,5,141.2519329,0.329981356,75.09378116,0,2,0.006247327,2.481721913
Good,4,3,3,3,4,127.7449784,0.245859281,72.09131684,1,2,0.007110312,3.151706763
Good,4,3,3,4,4,154.4577548,0.327884596,66.63083986,1,1,0.009017206,2.451178261
Good,3,4,4,4,4,152.533481,0.310953519,52.55186915,0,0,0.008735698,2.119045795
Good,3,3,3,3,3,147.2151385,0.267910722,40.51430653,1,4,0.007942937,3.161607331
Excellent,5,5,4,5,4,155.2395267,0.380810791,63.69587376,0,0,0.006051783,2.65052645
Bad,2,1,1,2,2,103.284306,0.316902153,21.10612973,1,6,0.005987428,1.493123132
Good,4,3,4,4,4,147.7500396,0.258788236,63.55579382,0,1,0.004274593,1.826623896
Bad,1,1,1,1,2,161.3985368,0.039289555,45.82873404,3,6,0.001362595,2.274271357
Bad,1,1,1,1,2,135.4311019,0.152557134,3.837242044,5,8,0.012923776,1.613609677
Good,3,3,4,4,4,144.8919953,0.149910914,61.08832423,1,1,0.006630196,1.933011248
Bad,2,1,2,2,2,122.120199,0.244971608,19.58518781,3,7,0.006566609,1.712224435
Excellent,5,4,4,4,4,137.1155262,0.355040871,53.70407014,0,1,0.005551864,2.751205947
Excellent,4,4,4,5,4,159.8269098,0.409308909,72.5713813,0,1,0.005371594,2.67632042
Excellent,4,5,5,5,4,143.884822,0.279666945,60.76766754,0,0,0.003648315,2.510120222
Good,3,3,4,3,3,179.485731,0.109617053,48.51327226,1,3,0.006039755,3.089540659
Good,3,4,4,4,4,169.6254103,0.246218828,31.30457219,3,2,0.006199237,2.377669971
Excellent,4,4,5,4,5,156.206721,0.384581034,82.86148455,1,2,0.006354845,2.905728526
Bad,2,1,2,1,1,118.5923644,0.170768769,29.07368256,1,10,0.006893006,1.337936031
